timestamp,open,high,low,close,volume,symbol,interval,source
2026-03-08T10:00:00Z,67681.00000000,68200.00000000,67680.99000000,67904.14000000,646.22527000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T11:00:00Z,67904.15000000,67904.15000000,67411.76000000,67515.00000000,536.67584000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T12:00:00Z,67515.00000000,67650.94000000,66888.00000000,67324.72000000,902.41572000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T13:00:00Z,67324.71000000,67431.81000000,66761.68000000,67234.86000000,1987.58970000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T14:00:00Z,67234.86000000,67426.69000000,67055.73000000,67339.76000000,695.31699000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T15:00:00Z,67339.75000000,67369.36000000,67080.00000000,67218.23000000,879.16155000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T16:00:00Z,67218.23000000,67268.44000000,66802.47000000,66872.15000000,538.75590000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T17:00:00Z,66872.15000000,67179.98000000,66800.01000000,67065.00000000,812.42846000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T18:00:00Z,67065.00000000,67076.00000000,66745.54000000,66804.00000000,487.97779000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T19:00:00Z,66803.99000000,67485.24000000,66779.82000000,67337.42000000,711.10669000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T20:00:00Z,67337.41000000,67609.08000000,67028.45000000,67238.80000000,1144.93227000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T21:00:00Z,67238.79000000,67266.00000000,66712.69000000,67020.01000000,959.03531000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T22:00:00Z,67020.01000000,67020.01000000,65618.49000000,66236.80000000,2742.02435000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T23:00:00Z,66236.80000000,66569.24000000,65930.30000000,65971.20000000,679.95244000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-09T00:00:00Z,65971.20000000,66773.00000000,65821.97000000,66370.01000000,951.35538000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-09T01:00:00Z,66370.01000000,66698.05000000,66131.25000000,66196.01000000,2263.78882000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-09T02:00:00Z,66196.01000000,66707.58000000,65959.00000000,66537.32000000,752.57114000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-09T03:00:00Z,66537.32000000,67668.64000000,66512.88000000,67205.05000000,1256.29482000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-09T04:00:00Z,67205.06000000,67610.00000000,67093.09000000,67130.14000000,848.47762000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-09T05:00:00Z,67131.10000000,68069.29000000,67113.02000000,67911.16000000,1145.71148000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
