family,asset,param,horizon,qualified,reasons,n,net,stress,delay,top5,sample
H162,WIN,z1.0_inverse,120,False,MIN_TRADES|DELAY|SIDES|CALENDAR|CONCENTRATION,1,66.6169671045933,65.6169671045933,39.116805940080155,1.0,DISCOVERY
H162,WIN,z1.0_riskoff,60,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES|CALENDAR|CONCENTRATION,1,-97.15989408290126,-98.15989408290126,-43.116805940080155,1.0,DISCOVERY
H162,WIN,z1.0_riskoff,120,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES|CALENDAR|CONCENTRATION,1,-70.6169671045933,-71.6169671045933,-43.116805940080155,1.0,DISCOVERY
H162,WDO,z1.0_inverse,60,False,MIN_TRADES|DELAY|SIDES|CALENDAR|CONCENTRATION,58,2.7052294283795706,1.7052294283795706,3.2451957454854377,0.461538339621398,REPLICATION
H162,WDO,z1.0_inverse,120,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES|CALENDAR|CONCENTRATION,58,-0.1648410208155959,-1.1648410208155955,4.91436736314874,0.4574477253145145,REPLICATION
H162,WDO,z1.0_stress,60,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES|CALENDAR|CONCENTRATION,58,-5.70522942837957,-6.70522942837957,-6.2451957454854385,0.4288778660573515,REPLICATION
H162,WDO,z1.0_stress,120,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES,58,-2.8351589791844054,-3.835158979184406,-7.914367363148743,0.3451632480231849,REPLICATION
H162,WDO,z1.5_inverse,60,False,MIN_TRADES|DELAY|SIDES|CALENDAR|CONCENTRATION,35,4.9571352440067225,3.957135244006723,3.8472307608268816,0.7036125992720824,REPLICATION
H162,WDO,z1.5_inverse,120,False,MIN_TRADES|DELAY|SIDES|CALENDAR|CONCENTRATION,35,4.539169571243461,3.5391695712434617,13.14609231099783,0.6143269281756404,REPLICATION
H162,WDO,z1.5_stress,60,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES|CALENDAR|CONCENTRATION,35,-7.9571352440067225,-8.957135244006722,-6.847230760826882,0.6142596938133089,REPLICATION
H162,WDO,z1.5_stress,120,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES|CALENDAR|CONCENTRATION,35,-7.539169571243461,-8.539169571243463,-16.146092310997833,0.4711430187773035,REPLICATION
H162,WIN,z1.0_inverse,60,False,MIN_TRADES|DELAY|SIDES|CALENDAR|CONCENTRATION,58,2.499515907233918,1.499515907233918,-1.5761158252093865,0.4980003497578859,REPLICATION
H162,WIN,z1.0_inverse,120,False,MIN_TRADES|DELAY|SIDES|CALENDAR,58,1.6127197874175645,0.6127197874175644,3.522809219270375,0.351795529534661,REPLICATION
H162,WIN,z1.0_riskoff,60,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES|CALENDAR|CONCENTRATION,58,-6.499515907233918,-7.499515907233918,-2.4238841747906146,0.43109178160345657,REPLICATION
H162,WIN,z1.0_riskoff,120,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES|CALENDAR,58,-5.612719787417564,-6.612719787417563,-7.522809219270375,0.31747608572451474,REPLICATION
H162,WIN,z1.5_inverse,60,False,MIN_TRADES|DELAY|SIDES|CALENDAR|CONCENTRATION,35,2.3031810764968226,1.3031810764968224,-5.225414974632847,0.6653429174960366,REPLICATION
H162,WIN,z1.5_inverse,120,False,MIN_TRADES|STRESS|DELAY|SIDES|CALENDAR|CONCENTRATION,35,0.8128960191602695,-0.18710398083973132,2.574386306248624,0.5080968467974493,REPLICATION
